company_name,date,rating,channel,title,description
5827 North College,2019-06-16,5,Airbnb,,Beautiful space and very clean. Kathy went out of her way to make us feel welcome
4452 Carrollton,2022-12-23,5,Airbnb,,Beautiful home. Wish we could have stayed longer. Very comfortable beds! Nice backyard.
Southridge,2024-08-02,5,Airbnb,,The house was just what we needed and was very clean and nice! Very nice people!
Brentwood Property Group,2024-11-18,5,Google,,"The best Airbnb property manager in Indianapolis! Has managed my Airbnb for over a year and is always on top of everything. Great communication, very professional, and MAKES ME MONEY! I wouldn't use anyone else for Airbnb management in Indy."
Unit 262,2023-07-22,5,Airbnb,,Great place and great host! Would stay again!
Sanders,2023-06-19,5,Airbnb,,The property was beautiful. Kitchen stocked. Full-size appliances. Very comfortable bedding. Towels available washer dryer. Double full sized garage.
211 N. Addison,2025-02-02,5,Airbnb,,Very close to the downtown Indy area. Host was very responsive. Had a few issues but the host did everything in their power to make it right. Would be willing to stay again.
College ,2023-05-29,5,Airbnb,,Property was accurately captured in photos and house descriptions. Neighborhood was convenient for weekend activities in Indy. Communication with the host was easy.
College ,2024-04-08,5,Airbnb,,"The house matches the photos well. The place was clean and conveniently located to downtown. There's no smart lock on the front door (only the back) which made it a little awkward to get into the first time, but after figuring it out it wasn't a big deal."
6115 Ralston,2024-03-27,5,Airbnb,,We had a wonderful stay and really enjoyed the location.
Morris ,2024-11-03,4,Airbnb,,"Great location, 20 min walk 5 min drive to Lucas Oil Stadium. The house was clean and modern. However the upstairs bed frame was squeaky and the mattresses were hard. There was a wasp upstairs. Luckily we didn't get stung. Overall great place for our family."
Sanders,2024-03-25,4,Airbnb,,"we have stayed here before and will stay here again; it's clean and a great place for our family of 6. when we had trouble with a shower drain, it was attended to immediately and fixed."
Morris ,2024-11-17,5,Airbnb,,"The house was nice, decorated well, and equipped with plenty of supplies in the kitchen and bathrooms for the stay.  The kitchen had both a regular coffee pot and kcup features. It was a very convenient and easy walk to the Lucas Oil Stadium from the house with plenty of bedrooms and bathrooms for a group to stay."
Evanston ,2025-02-02,5,Airbnb,,Home was very well kept. Wasn’t hard to get a Uber into downtown Indy.  Will definitely look to stay here for future trips to Indy.  Was quiet and had zero issues.
1123 Olive St.,2024-11-10,5,Airbnb,,beautiful space and a great area!
Unit 262,2024-09-21,5,Airbnb,,"Host responsive, place is clean"
302 E. 19th St.,2025-01-19,5,Airbnb,,The place was very clean and perfect for the weekend get away that we were looking for! They were super responsive and answered any questions we had. The house was the perfect location!
4452 Carrollton,2023-10-16,5,Airbnb,,"Our stay here was exactly what we needed. We are southsiders who planned a wedding at a nearby venue and needed a place to stay for a few days and a spot for we (two brides) and a few family members to get ready before our ceremony. With one bathroom upstairs and one downstairs, this place was the perfect spot for us to do hair/makeup/attire without seeing one another. We will remember this house forever as the backdrop for the first days of our marriage, where our niece/flower girl played the piano while we all got ready and where we discovered that our beagle loves beanbag chairs."
Fess Ave,2024-11-10,5,Airbnb,,would stay there again
Carson,2025-02-02,5,Airbnb,,It was a great place to stay we have fun while we were there and it was peaceful and pretty clean
5827 North College,2020-02-17,5,Airbnb,,"We were in town for a concert at the Vogue and this home was in the perfect location! It was only a 10 min. walk back after the concert let out. Also, we loved being able to walk into Broad Ripple on the Monon Trail for a relaxing Sunday. The host was very welcoming and provided thoughtful touches like morning coffee and tea. Would definitely stay here again if we were in town."
Evanston ,2024-12-06,5,Vrbo,A Good Stay In Indy,"We chose this VRBO as our home base for a weekend in Indy to see friends. It was spacious, clean, had a fenced in yard which was great for our dog, and was pretty close to everything we wanted to do. The property management company did a great job of communicating and the verification process to stay made me feel like this place was very legit. We enjoyed this little place and would stay here again. "
44 S Holmes,2025-03-09,5,Airbnb,,So nice and clean inside
2836 N. Washington ,2023-08-14,5,Airbnb,,"NIce place, just as described."
Carson,2024-07-06,5,Airbnb,,es una de las mejores decisiones k e tomado antes rentaba puro hotel y aora no creo cambiar a Brentwood
Woodland,2024-10-27,5,Airbnb,,"Easy to find and easy to get inside.  Very smooth stay, in town for kid’s softball games.<br/>One suggestion - “sofa bed” should read “futon.”  Hypothetically, my 73-year-old mother can sleep on “sofa beds.”  She could not have slept on the futon in the living room. <br/>Everything else was great"
5827 North College,2022-06-26,5,Airbnb,,"A beautifully decorated, super clean, and charming home in a great location! Everything is the highest quality… bed linens, towels, soaps, kitchenware, etc. Enjoyed having a cappuccino in the morning and a glass of wine in the evening. A lovely neighborhood to walk through and down to Broad Ripple for restaurants and shops. Easy drive to Grand Park for our soccer tournament. Excellent communication from Kathy who thought of every detail. Will look for this again our next time in Indy!"
2834 N. Washington ,2023-03-28,5,Airbnb,,all want to say is thank you Gabriel for giving this opportunity stay Thank you for making your home our home.
341 Parkway,2024-10-26,5,Vrbo,Great option for small group.,"Great distance to our target area of the city.  No concerns with safety.  Easy, frequent, and fast communication with property manager.  Would definitely book again."
S. Madison St. ,2024-10-28,5,Airbnb,,This is a cozy little house. Perfect for the three of us.
135 Hillcrest ,2024-05-05,4,Airbnb,,"Great place, great location, the only thing is that the grass were too long and we couldn’t enjoy the backyard or front yard, other than that it was great."
1901 Carrollton ,2023-07-23,5,Airbnb,,Great place to stay
Lake Ridge,2024-09-23,5,Vrbo,,
4452 Carrollton,2023-08-06,5,Airbnb,,Great place to stay
1301 Ringgold,2024-12-08,5,Vrbo,N/a,N/a
1230 Union Street,2024-09-30,4,Airbnb,,"This house was so great for our family when we were in town for a colts game. Only a 20 min walk to the stadium!! The house is stunning too. They did a great job remodeling.<br/>Spare room was great for our son and pack n play was wonderful to have for our baby in the basement. Our baby could honestly fit in the closet and another couple could have slept in the basement!<br/>I only gave 4 stars because the floors needed to be cleaned better and the neighbors dogs were loud our first night. We both even considered not staying the second night. We slept just a few hours. It was pretty awful honestly. Roosters and chickens actually weren’t loud at all! However we both slept better the second night, so can’t say for certain how loud the dogs typically are. I am also a light sleeper. I’m not sure if we’d stay here again. With ear plugs - then probably."
Unit 262,2023-05-01,5,Airbnb,,Great Stay! Nice location!
Puntledge,2023-07-17,5,Airbnb,,Definitely recommend staying here! Place is absolutely beautiful.
Grandview,2024-03-13,5,Airbnb,,"Work Crew stayed while on project in area.  Found the location clean, well put together.  Like having a home to come to in the evenings after a long day at work.  Relaxing..."
Morris ,2024-06-24,5,Airbnb,,Perfect for our needs.. Lucas around the corner..
44 S Holmes,2024-11-02,5,Airbnb,,"We had a wonderful stay! We were in town for The Eras Tour and when we walked in we found the host had left us some Taylor Swift goodies which we found so sweet and thoughtful!!! Great hosts, very responsive and a very clean house! I will definitely book with Brentwood again!"
330 E Caven,2023-09-17,5,Airbnb,,The beds were super comfortable and the house was very clean.
44 S Holmes,2023-01-31,5,Airbnb,,Really enjoyed the stay. It worked perfect for what we needed.
Carson,2024-12-28,4,Airbnb,,"Everything was cleaned well, including the towels, linens, and surfaces. We also received clear instructions for check in and the check out expectations were reasonable. Unfortunately, the neighborhood is rundown (dumpsters overflowed, it’s not well lit) and the house is in need of some repairs (there’s wear and tear, e.g. scuff marks and dents on doors, upstairs shower backs up)."
135 Hillcrest ,2024-04-03,4,Airbnb,,There was plenty of space for the 8 of us and they had a charming complimentary coffee and tea station. Brentwood was very kind and responsive when we expressed concerns about the bedding arrangements and some cleanliness. We arrived on Saturday and they wouldn’t have anyone available to address our concerns until Monday morning. We agreed on a partial refund to address the concerns. Throughout our stay Brentwood kept in touch and was courteous to our needs.
5827 North College,2018-11-11,5,Airbnb,,Kathy was a kind host with a nicely decorated home in a great location.
Morris ,2024-12-29,5,Airbnb,,Wonderful stay. Everything was exactly how it showed in the pictures.
30 Village Court,2024-08-06,5,Airbnb,,Perfect location for Great Lakes Regional Baseball Tournament. <br/>Plenty of space inside to relax. <br/>Quick responses for questions asked. <br/>Needs shrubbery trimmed to have an attractive curb appeal. <br/>Full size coffee pot needed for large group. <br/>Grab bars in shower would be nice for elderly.
5827 North College,2020-02-02,5,Airbnb,,"Nice, clean space in a safe neighborhood. The bed was comfy and the family was friendly."
N. New Jersey ,2023-05-21,5,Airbnb,,The house was lovely and in a walkable neighborhood.
Senour,2024-04-07,4,Airbnb,,"Good place, the backyard was not usable as the grass wasn’t trimmed but otherwise a good place to stay"
Sanders,2023-03-26,5,Airbnb,,"The place is exactly as shown. It is very spacious, and the perfect place to call home while attending a swim meet at IUPUI. Gabe is also very responsive."
Sanders,2023-07-09,5,Airbnb,,"Great host, perfect location, beautiful place!"
1901 Carrollton ,2023-04-02,5,Airbnb,,"We had a great stay. The house looked great, was well equipped and Gabriel was very informative about the process and helpful. He was even quick and helpful to respond when I asked a question about Indy. Would definitely stay here again if ever in the area."
Morris ,2024-09-30,5,Airbnb,,Great place for a guys trip to the football game. Short walk to the game. All the guys said I pick a great place to stay at.
Sanders,2024-05-06,5,Airbnb,,cute house with large sized rooms and plenty of space for cooking and eating in. very clean and perfect space for a family
330 E Caven,2024-08-04,5,Vrbo,Great Space,Plenty of space for our group of 5. The house was modern and clean. It was easy and inexpensive to Uber/Lyft downtown. We’ll be back.
